name,lon,lat,area_km2
,-124.99519,67.46837,328
Lake Clark,-154.32235,60.24188,327
Ozero Portnyagino,107.12434,74.15103,327
Lake Gordon,146.20240,-42.72736,326
Réservoir Baskatong,-75.74527,46.86318,326
Siljan,14.74546,60.86431,324
,-65.48883,55.88146,323
Gariep Dam,25.58847,-30.62421,322
,139.77154,52.06886,322
Kluane Lake,-138.79240,61.33500,319
,-70.93535,81.80000,319
,-101.40345,55.17116,319
Lake Wakatipu,168.57120,-45.08650,317
Réservoir de Caniapiscau,-69.85122,54.55403,317
Laguna Ragaguado,-65.54152,-12.90260,316
,139.72547,53.44781,315
,58.78741,51.94479,313
Ozero Mogotoyevo,149.12175,72.03065,313
Utah Lake,-111.77426,40.21923,313
Shijiu Hu,118.87108,31.47897,313
Laguna Iberá,-57.13696,-28.43502,312
,28.69095,64.08363,310
Lumajangdong Co,81.64126,34.01919,310
,-96.47726,63.95661,310
,112.90597,29.32069,308
Hong Hu,113.28471,29.84878,306
,26.63218,61.39328,306
Saksak Dagi,38.41607,38.51840,304
,-126.30174,66.88906,302
Daguan Hu,116.31941,30.04365,302
Upper Klamath Lake,-121.94867,42.43903,302
Umbozero Lake,34.39903,67.70681,301
Banggong Co,78.61645,33.82564,301
J. Strom Thurmond Lake,-82.37607,33.82770,300
Ozero Dyupkun,92.55866,68.11009,300
